N,DAC_code,DAC_ideal_V,ADC_CC_raw,ADC_CC_V,CC_error_mV,ADC_CV_raw,ADC_CV_V,CV_error_mV
0,0,0.000000,-3,0.000000,0.000,-3,0.000000,0.000
1,662,0.030304,325,0.030069,-0.235,320,0.029777,-0.527
2,1324,0.060609,656,0.060413,-0.196,649,0.060107,-0.502
3,1986,0.090913,987,0.090756,-0.157,978,0.090437,-0.476
4,2648,0.121218,1317,0.121008,-0.210,1307,0.120767,-0.451
5,3310,0.151522,1647,0.151260,-0.262,1636,0.151097,-0.425
6,3972,0.181827,1978,0.181604,-0.223,1965,0.181427,-0.400
7,4634,0.212131,2309,0.211948,-0.183,2294,0.211757,-0.374
8,5296,0.242435,2639,0.242200,-0.235,2622,0.241995,-0.440
9,5958,0.272740,2970,0.272544,-0.196,2951,0.272325,-0.415
10,6620,0.303044,3300,0.302796,-0.248,3280,0.302655,-0.389
11,7282,0.333349,3631,0.333140,-0.209,3608,0.332893,-0.456
12,7944,0.363653,3961,0.363392,-0.261,3937,0.363223,-0.430
13,8606,0.393957,4292,0.393736,-0.221,4266,0.393553,-0.404
14,9268,0.424262,4622,0.423988,-0.274,4595,0.423883,-0.379
15,9930,0.454566,4952,0.454240,-0.326,4923,0.454121,-0.445
16,10592,0.484871,5283,0.484584,-0.287,5253,0.484543,-0.328
17,11253,0.515129,5613,0.514836,-0.293,5581,0.514781,-0.348
18,11915,0.545434,5944,0.545179,-0.255,5909,0.545019,-0.415
19,12577,0.575738,6275,0.575523,-0.215,6239,0.575441,-0.297
20,13239,0.606043,6606,0.605867,-0.176,6568,0.605771,-0.272
21,13901,0.636347,6936,0.636119,-0.228,6896,0.636009,-0.338
22,14563,0.666651,7266,0.666371,-0.280,7225,0.666339,-0.312
23,15225,0.696956,7597,0.696715,-0.241,7555,0.696761,-0.195
24,15887,0.727260,7927,0.726967,-0.293,7883,0.726999,-0.261
25,16549,0.757565,8258,0.757311,-0.254,8212,0.757329,-0.236
26,17211,0.787869,8588,0.787563,-0.306,8541,0.787659,-0.210
27,17873,0.818173,8919,0.817907,-0.266,8870,0.817989,-0.184
28,18535,0.848478,9249,0.848159,-0.319,9198,0.848227,-0.251
29,19197,0.878782,9580,0.878502,-0.280,9527,0.878557,-0.225
30,19859,0.909087,9911,0.908846,-0.241,9856,0.908887,-0.200
31,20521,0.939391,10241,0.939098,-0.293,10185,0.939217,-0.174
32,21183,0.969696,10572,0.969442,-0.254,10514,0.969547,-0.149
33,21845,1.000000,10903,0.999786,-0.214,10842,0.999785,-0.215
34,22507,1.030304,11233,1.030038,-0.266,11171,1.030115,-0.189
35,23169,1.060609,11563,1.060290,-0.319,11500,1.060445,-0.164
36,23831,1.090913,11894,1.090634,-0.279,11829,1.090775,-0.138
37,24493,1.121218,12226,1.121069,-0.149,12159,1.121197,-0.021
38,25155,1.151522,12555,1.151230,-0.292,12487,1.151435,-0.087
39,25817,1.181827,12886,1.181573,-0.254,12816,1.181765,-0.062
40,26479,1.212131,13217,1.211917,-0.214,13145,1.212095,-0.036
41,27141,1.242435,13547,1.242169,-0.266,13474,1.242425,-0.010
42,27803,1.272740,13878,1.272513,-0.227,13802,1.272663,-0.077
43,28465,1.303044,14209,1.302857,-0.187,14132,1.303085,0.041
44,29127,1.333349,14540,1.333201,-0.148,14460,1.333323,-0.026
45,29789,1.363653,14870,1.363453,-0.200,14789,1.363653,0.000
46,30451,1.393957,15201,1.393796,-0.161,15118,1.393983,0.026
47,31113,1.424262,15532,1.424140,-0.122,15447,1.424313,0.051
48,31775,1.454566,15862,1.454392,-0.174,15776,1.454643,0.077
49,32437,1.484871,16192,1.484644,-0.227,16104,1.484881,0.010
50,33098,1.515129,16523,1.514988,-0.141,16433,1.515211,0.082
51,33760,1.545434,16853,1.545240,-0.194,16762,1.545541,0.107
52,34422,1.575738,17183,1.575492,-0.246,17090,1.575779,0.041
53,35084,1.606043,17514,1.605836,-0.207,17419,1.606109,0.066
54,35746,1.636347,17845,1.636180,-0.167,17749,1.636531,0.184
55,36408,1.666651,18175,1.666432,-0.219,18077,1.666769,0.118
56,37070,1.696956,18506,1.696776,-0.180,18406,1.697099,0.143
57,37732,1.727260,18837,1.727119,-0.141,18735,1.727429,0.169
58,38394,1.757565,19168,1.757463,-0.102,19064,1.757759,0.194
59,39056,1.787869,19498,1.787715,-0.154,19392,1.787997,0.128
60,39718,1.818173,19829,1.818059,-0.114,19722,1.818419,0.246
61,40380,1.848478,20159,1.848311,-0.167,20051,1.848749,0.271
62,41042,1.878782,20490,1.878655,-0.127,20380,1.879079,0.297
63,41704,1.909087,20820,1.908907,-0.180,20708,1.909317,0.230
64,42366,1.939391,21151,1.939251,-0.140,21037,1.939647,0.256
65,43028,1.969696,21481,1.969503,-0.193,21366,1.969977,0.281
66,43690,2.000000,21812,1.999847,-0.153,21695,2.000307,0.307
67,44352,2.030304,22143,2.030190,-0.114,22023,2.030545,0.241
68,45014,2.060609,22474,2.060534,-0.075,22353,2.060967,0.358
69,45676,2.090913,22804,2.090786,-0.127,22682,2.091297,0.384
70,46338,2.121218,23135,2.121130,-0.088,23010,2.121535,0.317
71,47000,2.151522,23466,2.151474,-0.048,23339,2.151865,0.343
72,47662,2.181827,23796,2.181726,-0.101,23668,2.182195,0.368
73,48324,2.212131,24127,2.212070,-0.061,23997,2.212525,0.394
74,48986,2.242435,24457,2.242322,-0.113,24326,2.242855,0.420
75,49648,2.272740,24787,2.272574,-0.166,24654,2.273093,0.353
76,50310,2.303044,25118,2.302918,-0.126,24983,2.303423,0.379
77,50972,2.333349,25448,2.333170,-0.179,25312,2.333753,0.404
78,51634,2.363653,25779,2.363514,-0.139,25641,2.364083,0.430
79,52296,2.393957,26109,2.393766,-0.191,25970,2.394413,0.456
80,52958,2.424262,26440,2.424109,-0.153,26299,2.424743,0.481
81,53620,2.454566,26771,2.454453,-0.113,26628,2.455074,0.508
82,54282,2.484871,27101,2.484705,-0.166,26956,2.485311,0.440
83,54943,2.515129,27431,2.514957,-0.172,27284,2.515549,0.420
84,55605,2.545434,27762,2.545301,-0.133,27613,2.545879,0.445
85,56267,2.575738,28093,2.575645,-0.093,27942,2.576209,0.471
86,56929,2.606043,28424,2.605989,-0.054,28270,2.606447,0.404
87,57591,2.636347,28754,2.636241,-0.106,28600,2.636869,0.522
88,58253,2.666651,29085,2.666584,-0.067,28929,2.667199,0.548
89,58915,2.696956,29415,2.696837,-0.119,29257,2.697437,0.481
90,59577,2.727260,29745,2.727089,-0.171,29586,2.727767,0.507
91,60239,2.757565,30076,2.757432,-0.133,29915,2.758097,0.532
92,60901,2.787869,30407,2.787776,-0.093,30244,2.788427,0.558
93,61563,2.818173,30737,2.818028,-0.145,30573,2.818757,0.584
94,62225,2.848478,31068,2.848372,-0.106,30902,2.849087,0.609
95,62887,2.878782,31399,2.878716,-0.066,31231,2.879417,0.635
96,63549,2.909087,31729,2.908968,-0.119,31560,2.909747,0.660
97,64211,2.939391,32060,2.939312,-0.079,31889,2.940078,0.687
98,64873,2.969696,32391,2.969655,-0.041,32218,2.970408,0.712
99,65535,3.000000,32721,2.999908,-0.092,32547,3.000738,0.738
